Company Name,Industry,Symbol,Series,ISIN Code
Astra Microwave Products Ltd.,Capital Goods,ASTRAMICRO,EQ,INE386C01029
BEML Ltd.,Capital Goods,BEML,EQ,INE258A01016
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01025
Cyient DLM Ltd.,Capital Goods,CYIENTDLM,EQ,INE055S01018
DCX Systems Ltd.,Capital Goods,DCXINDIA,EQ,INE0KL801015
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010
Dynamatic Technologies Ltd.,Capital Goods,DYNAMATECH,EQ,INE221B01012
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ,INE382Z01011
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020
MTAR Technologies Ltd.,Capital Goods,MTARTECH,EQ,INE864I01014
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020
Mishra Dhatu Nigam Ltd.,Capital Goods,MIDHANI,EQ,INE099Z01011
Paras Defence and Space Technologies Ltd.,Capital Goods,PARAS,EQ,INE045601015
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029
Unimech Aerospace and Manufacturing Ltd.,Capital Goods,UNIMECH,EQ,INE0U3I01011
Zen Technologies Ltd.,Capital Goods,ZENTEC,EQ,INE251B01027
